"filename", "language", "JSON", "Dart", "C++", "YAML", "Markdown", "XML", "HTML", "Swift", "JavaScript", "Groovy", "Properties", "comment", "blank", "total"
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\auth_repository.dart", "Dart", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 141
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\event_repository.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 103
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\group_repository.dart", "Dart", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 144
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\interest_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\invitation_repository.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 67
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\podcast_repository.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\post_repository.dart", "Dart", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 133
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\user_favorites_repository.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\user_repository.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 101
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\abstract\auth_base.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\abstract\database_base.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\abstract\storage_base.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\dynamic_link_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\fake_auth_service.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 70
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_announcement_service.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_auth_service.dart", "Dart", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 143
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_comment_service.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_contribution_service.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_event_service.dart", "Dart", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 171
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_group_service.dart", "Dart", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 128
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_interest_service.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 32
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_invitations_service.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 107
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_podcast_service.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_post_service.dart", "Dart", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 34, 185
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_remote_config_service.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_report_service.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_story_service.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_user_favorites_service.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 36
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\firebase_user_service.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 67
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\network_status_service.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\upload_service.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 30, 185
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\services\concrete\youtube_video_validator.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 80
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\forgot_password.dart", "Dart", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 150
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\login_page.dart", "Dart", 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 282
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\signup\components\or_dividers.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\signup\components\social_icon.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\signup\signup_detail\signup_detail.dart", "Dart", 0, 455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34, 495
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\signup\signup_page.dart", "Dart", 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 337
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\auth\welcome_page.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 89
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\screens\about_dodact_page.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\screens\no_internet_page.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\screens\privacy_policy_page.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\custom_button.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\custom_dialog_box.dart", "Dart", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 98
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\network_aware_widget.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\rounded_button.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\rounded_input_field.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\rounded_password_field.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\common\widgets\text_field_container.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\creation\creation_page.dart", "Dart", 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 185
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\creation\subpages\event_creation_page.dart", "Dart", 0, 703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 48, 765
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\creation\subpages\post_creation_page.dart", "Dart", 0, 584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 55, 703
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\about_dodact.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\podcast_detail.dart", "Dart", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 134
