Date : 2021-09-29 16:58:06
Directory : d:\Software\Flutter\dodact_v1
Total : 232 files,  22666 codes, 1652 comments, 2084 blanks, all 26402 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Software\Flutter\dodact_v1\lib\ui\auth\login_page.dart                                                      | Dart       |        259 |          9 |         14 |        282 |
| d:\Software\Flutter\dodact_v1\lib\ui\auth\signup\components\or_dividers.dart                                   | Dart       |         36 |          0 |          3 |         39 |
| d:\Software\Flutter\dodact_v1\lib\ui\auth\signup\components\social_icon.dart                                   | Dart       |         32 |          0 |          3 |         35 |
| d:\Software\Flutter\dodact_v1\lib\ui\auth\signup\signup_detail\signup_detail.dart                              | Dart       |        455 |          6 |         34 |        495 |
| d:\Software\Flutter\dodact_v1\lib\ui\auth\signup\signup_page.dart                                              | Dart       |        323 |          1 |         13 |        337 |
| d:\Software\Flutter\dodact_v1\lib\ui\auth\welcome_page.dart                                                    | Dart       |         85 |          0 |          4 |         89 |
| d:\Software\Flutter\dodact_v1\lib\ui\common\screens\about_dodact_page.dart                                     | Dart       |         45 |          0 |          4 |         49 |
| d:\Software\Flutter\dodact_v1\lib\ui\common\screens\no_internet_page.dart                                      | Dart       |         16 |          1 |          2 |         19 |
| d:\Software\Flutter\dodact_v1\lib\ui\common\screens\privacy_policy_page.dart                                   | Dart       |         14 |          0 |          2 |         16 |
| d:\Software\Flutter\dodact_v1\lib\ui\common\widgets\custom_button.dart                                         | Dart       |         32 |          0 |          4 |         36 |
| d:\Software\Flutter\dodact_v1\lib\ui\common\widgets\custom_dialog_box.dart                                     | Dart       |         91 |          0 |          7 |         98 |
| d:\Software\Flutter\dodact_v1\lib\ui\common\widgets\network_aware_widget.dart                                  | Dart       |         18 |          0 |          5 |         23 |
| d:\Software\Flutter\dodact_v1\lib\ui\common\widgets\rounded_button.dart                                        | Dart       |         36 |          0 |          6 |         42 |
| d:\Software\Flutter\dodact_v1\lib\ui\common\widgets\rounded_input_field.dart                                   | Dart       |         41 |          0 |          4 |         45 |
| d:\Software\Flutter\dodact_v1\lib\ui\common\widgets\rounded_password_field.dart                                | Dart       |         33 |          0 |          3 |         36 |
| d:\Software\Flutter\dodact_v1\lib\ui\common\widgets\text_field_container.dart                                  | Dart       |         39 |          0 |          3 |         42 |
| d:\Software\Flutter\dodact_v1\lib\ui\creation\creation_page.dart                                               | Dart       |        173 |          1 |         11 |        185 |
